# Monthly wet deposition fluxes (ng/m2/d). Data provided by O. Travnikov, Global Mercury Assessment 2018
# SiteID,Lat,Lon,Month,Year,Concentration
DSA,37.4356,-88.6719,3,2015,0.514921E+02
DSA,37.4356,-88.6719,4,2015,0.491979E+02
DSA,37.4356,-88.6719,5,2015,0.475804E+02
DSA,37.4356,-88.6719,6,2015,0.463682E+02
DSA,37.4356,-88.6719,7,2015,0.832823E+02
DSA,37.4356,-88.6719,8,2015,0.227774E+02
DSA,37.4356,-88.6719,9,2015,0.145696E+02
DSA,37.4356,-88.6719,10,2015,0.753079E+01
DSA,37.4356,-88.6719,11,2015,0.442662E+02
DSA,37.4356,-88.6719,12,2015,0.515621E+02
DVL,43.4352,-89.6801,1,2015,0.457090E+01
DVL,43.4352,-89.6801,2,2015,0.248380E+01
DVL,43.4352,-89.6801,3,2015,0.707471E+01
DVL,43.4352,-89.6801,4,2015,0.665823E+02
DVL,43.4352,-89.6801,5,2015,0.300948E+02
DVL,43.4352,-89.6801,6,2015,0.491730E+02
DVL,43.4352,-89.6801,7,2015,0.313102E+02
DVL,43.4352,-89.6801,8,2015,0.176837E+02
DVL,43.4352,-89.6801,9,2015,0.308803E+02
DVL,43.4352,-89.6801,10,2015,0.110774E+02
DVL,43.4352,-89.6801,11,2015,0.185799E+02
DVL,43.4352,-89.6801,12,2015,0.196143E+02
EGB,44.2339,-79.7917,1,2015,0.902327E+01
EGB,44.2339,-79.7917,2,2015,0.112273E+02
EGB,44.2339,-79.7917,3,2015,0.599871E+01
EGB,44.2339,-79.7917,4,2015,0.152341E+02
EGB,44.2339,-79.7917,5,2015,0.150405E+02
EGB,44.2339,-79.7917,6,2015,0.478686E+02
EGB,44.2339,-79.7917,7,2015,0.209549E+02
EGB,44.2339,-79.7917,8,2015,0.153088E+02
EGB,44.2339,-79.7917,9,2015,0.614153E+01
EGB,44.2339,-79.7917,10,2015,0.124548E+02
EGB,44.2339,-79.7917,11,2015,0.941050E+01
EGB,44.2339,-79.7917,12,2015,0.376321E+01
ERI,42.1558,-80.1134,1,2015,0.146665E+02
ERI,42.1558,-80.1134,2,2015,0.194592E+02
ERI,42.1558,-80.1134,3,2015,0.159095E+02
ERI,42.1558,-80.1134,4,2015,0.314908E+02
ERI,42.1558,-80.1134,5,2015,0.311511E+02
ERI,42.1558,-80.1134,6,2015,0.398986E+02
ERI,42.1558,-80.1134,7,2015,0.228534E+02
ERI,42.1558,-80.1134,8,2015,0.165893E+02
ERI,42.1558,-80.1134,9,2015,0.728623E+01
ERI,42.1558,-80.1134,10,2015,0.203957E+02
ERI,42.1558,-80.1134,11,2015,0.143612E+02
ERI,42.1558,-80.1134,12,2015,0.243335E+02
EVD,18.3206,-65.82,1,2015,0.565650E+02
EVD,18.3206,-65.82,2,2015,0.434886E+02
EVD,18.3206,-65.82,3,2015,0.217686E+02
EVD,18.3206,-65.82,4,2015,0.326531E+02
EVD,18.3206,-65.82,5,2015,0.309350E+02
EVD,18.3206,-65.82,6,2015,0.323790E+02
EVD,18.3206,-65.82,7,2015,0.310664E+02
EVD,18.3206,-65.82,8,2015,0.534719E+02
EVD,18.3206,-65.82,9,2015,0.509585E+02
EVD,18.3206,-65.82,10,2015,0.854648E+02
EVD,18.3206,-65.82,11,2015,0.509752E+02
EVD,18.3206,-65.82,12,2015,0.422115E+02
EVG,25.39,-80.68,1,2015,0.326824E+01
EVG,25.39,-80.68,2,2015,0.190061E+02
EVG,25.39,-80.68,3,2015,0.748684E+01
EVG,25.39,-80.68,4,2015,0.238058E+02
EVG,25.39,-80.68,5,2015,0.254873E+02
EVG,25.39,-80.68,6,2015,0.108786E+03
EVG,25.39,-80.68,7,2015,0.137534E+03
EVG,25.39,-80.68,8,2015,0.136012E+03
EVG,25.39,-80.68,9,2015,0.122071E+03
EVG,25.39,-80.68,10,2015,0.214439E+02
EVG,25.39,-80.68,11,2015,0.460698E+02
EVG,25.39,-80.68,12,2015,0.256174E+02
EWB,26.1714,-80.8222,1,2015,0.135287E+02
EWB,26.1714,-80.8222,2,2015,0.160923E+02
EWB,26.1714,-80.8222,3,2015,0.947823E+01
EWB,26.1714,-80.8222,4,2015,0.936320E+01
EWB,26.1714,-80.8222,5,2015,0.499249E+02
EWB,26.1714,-80.8222,6,2015,0.656930E+02
EWB,26.1714,-80.8222,7,2015,0.996693E+02
EWB,26.1714,-80.8222,8,2015,0.110027E+03
EWB,26.1714,-80.8222,9,2015,0.110551E+03
EWB,26.1714,-80.8222,10,2015,0.271175E+02
EWB,26.1714,-80.8222,11,2015,0.426836E+02
EWB,26.1714,-80.8222,12,2015,0.131981E+02
FMG,47.9464,-91.4961,1,2015,0.398169E+01
FMG,47.9464,-91.4961,2,2015,0.322948E+01
FMG,47.9464,-91.4961,3,2015,0.673319E+01
FMG,47.9464,-91.4961,4,2015,0.151026E+02
FMG,47.9464,-91.4961,5,2015,0.123792E+02
FMG,47.9464,-91.4961,6,2015,0.417937E+02
FMG,47.9464,-91.4961,7,2015,0.146828E+02
FMG,47.9464,-91.4961,8,2015,0.402089E+02
FMG,47.9464,-91.4961,9,2015,0.251449E+02
FMG,47.9464,-91.4961,10,2015,0.881625E+01
FMG,47.9464,-91.4961,11,2015,0.108467E+02
FMG,47.9464,-91.4961,12,2015,0.527935E+01
FWS,48.5102,-113.997,1,2015,0.913768E+01
FWS,48.5102,-113.997,2,2015,0.230288E+02
FWS,48.5102,-113.997,3,2015,0.168412E+02
FWS,48.5102,-113.997,4,2015,0.144259E+02
FWS,48.5102,-113.997,5,2015,0.144882E+02
FWS,48.5102,-113.997,6,2015,0.118816E+02
FWS,48.5102,-113.997,7,2015,0.943490E+01
FWS,48.5102,-113.997,8,2015,0.757998E+01
FWS,48.5102,-113.997,9,2015,0.498327E+01
FWS,48.5102,-113.997,10,2015,0.424390E+01
FWS,48.5102,-113.997,11,2015,0.117278E+02
FWS,48.5102,-113.997,12,2015,0.118946E+02
GDR,41.4271,-80.1451,1,2015,0.118842E+02
GDR,41.4271,-80.1451,2,2015,0.891950E+01
GDR,41.4271,-80.1451,3,2015,0.185265E+02
GDR,41.4271,-80.1451,4,2015,0.287796E+02
GDR,41.4271,-80.1451,5,2015,0.346176E+02
GDR,41.4271,-80.1451,6,2015,0.558270E+02
GDR,41.4271,-80.1451,7,2015,0.200431E+02
GDR,41.4271,-80.1451,8,2015,0.176980E+02
GDR,41.4271,-80.1451,9,2015,0.100845E+02
GDR,41.4271,-80.1451,10,2015,0.240109E+02
GDR,41.4271,-80.1451,11,2015,0.143091E+02
GDR,41.4271,-80.1451,12,2015,0.400141E+02
GES,39.5136,-98.3403,1,2015,0.200347E+01
GES,39.5136,-98.3403,2,2015,0.162507E+01
GES,39.5136,-98.3403,3,2015,0.172906E+01
GES,39.5136,-98.3403,4,2015,0.332274E+02
GES,39.5136,-98.3403,5,2015,0.695407E+02
GES,39.5136,-98.3403,6,2015,0.656166E+02
GES,39.5136,-98.3403,7,2015,0.645719E+02
GES,39.5136,-98.3403,8,2015,0.465932E+02
GES,39.5136,-98.3403,9,2015,0.284859E+02
GES,39.5136,-98.3403,10,2015,0.126844E+02
GES,39.5136,-98.3403,11,2015,0.145142E+02
